Year,Rank,Name,Category
2009,5,Adolf Hitler,Politicians
2009,6,Manny Pacquiao,Politicians
2009,7,John F. Kennedy,Politicians
2009,8,George Washington,Politicians
2009,9,Ronald Reagan,Politicians
2009,10,Bill Clinton,Politicians
2009,1,Miley Cyrus,Teen Pop Artists
2009,2,Taylor Swift,Teen Pop Artists
2009,3,Beyonce,Teen Pop Artists
2009,4,Britney Spears,Teen Pop Artists
2009,5,Jonas Brothers,Teen Pop Artists
2009,6,Selena Gomez,Teen Pop Artists
2009,7,Justin Bieber,Teen Pop Artists
2009,8,Vanessa Hudgens,Teen Pop Artists
2009,9,Demi Lovato,Teen Pop Artists
2009,10,Lindsay Lohan,Teen Pop Artists
2008,1,Miley Cyrus,Actors
2008,2,Heath Ledger,Actors
2008,3,Lindsay Lohan,Actors
2008,4,Angelina Jolie,Actors
2008,5,Vanessa Hudgens,Actors
2008,6,Megan Fox,Actors
2008,7,Jessica Alba,Actors
2008,8,Jennifer Aniston,Actors
2008,9,Robert Pattinson,Actors
2008,10,Chuck Norris,Actors
2008,1,Barack Obama,People
2008,2,Sarah Palin,People
2008,3,Lil Wayne,People
2008,4,John McCain,People
2008,5,Miley Cyrus,People
2008,6,Kim Kardashian,People
2008,7,Britney Spears,People
2008,8,Perez Hilton,People
2008,9,Walt Disney,People
2008,10,Oprah Winfrey,People
2008,1,Barack Obama,Politicians
2008,2,Sarah Palin,Politicians
2008,3,John McCain,Politicians
2008,4,Hillary Rodham Clinton,Politicians
2008,5,George W. Bush,Politicians
2008,6,Bill Clinton,Politicians
2008,7,Joe Biden,Politicians
2008,8,John F. Kennedy,Politicians
2008,9,Ron Paul,Politicians
2008,10,Abraham Lincoln,Politicians
2008,1,Miley Cyrus,Teen Pop Artists
2008,2,Britney Spears,Teen Pop Artists
2008,3,Jonas Brothers,Teen Pop Artists
2008,4,Taylor Swift,Teen Pop Artists
2008,5,Beyonce,Teen Pop Artists
2008,6,Lindsay Lohan,Teen Pop Artists
2008,7,Vanessa Hudgens,Teen Pop Artists
2008,8,Katy Perry,Teen Pop Artists
2008,9,Selena Gomez,Teen Pop Artists
2008,10,Nick Jonas,Teen Pop Artists
2007,1,Vanessa Hudgens,Actors
2007,2,Miley Cyrus,Actors
2007,3,Lindsay Lohan,Actors
2007,4,Zac Efron,Actors
2007,5,Jessica Alba,Actors
2007,6,Justin Timberlake,Actors
2007,7,Angelina Jolie,Actors
2007,8,Jennifer Lopez,Actors
2007,9,Pamela Anderson,Actors
2007,10,Will Ferrell,Actors
2007,1,Michael Jordan,Athletes
2007,2,Michael Vick,Athletes
2007,3,Tiger Woods,Athletes
2007,4,David Beckham,Athletes
2007,5,Kobe Bryant,Athletes
2007,6,Tom Brady,Athletes
2007,7,LeBron James,Athletes
2007,8,"Floyd Mayweather, Jr.",Athletes
2007,9,Peyton Manning,Athletes
2007,10,Barry Bonds,Athletes
2007,1,Britney Spears,Music Artists
2007,2,Lil Wayne,Music Artists
2007,3,Miley Cyrus,Music Artists
2007,4,Beyonce,Music Artists
2007,5,Chris Brown,Music Artists
2007,6,The Beatles,Music Artists
2007,7,Kanye West,Music Artists
2007,8,Lindsay Lohan,Music Artists
2007,9,Jessica Simpson,Music Artists
2007,10,Fergie,Music Artists
2007,1,Britney Spears,Teen Pop Artists
2007,2,Vanessa Hudgens,Teen Pop Artists
2007,3,Miley Cyrus,Teen Pop Artists
2007,4,Beyonce,Teen Pop Artists
2007,5,Lindsay Lohan,Teen Pop Artists
2007,6,Justin Timberlake,Teen Pop Artists
2007,7,Avril Lavigne,Teen Pop Artists
2007,8,Jonas Brothers,Teen Pop Artists
2007,9,Christina Aguilera,Teen Pop Artists
2007,10,Ashley Tisdale,Teen Pop Artists
2006,1,Angelina Jolie,Actors
2006,2,Lindsay Lohan,Actors
2006,3,Sacha Baron Cohen,Actors
2006,4,Pamela Anderson,Actors
2006,5,Brad Pitt,Actors
2006,6,Jessica Alba,Actors
2006,7,Tom Cruise,Actors
2006,8,Justin Timberlake,Actors
2006,9,Chuck Norris,Actors
2006,10,Jennifer Aniston,Actors
2006,1,Michael Jordan,Athletes
2006,2,Tiger Woods,Athletes
2006,3,Kobe Bryant,Athletes
2006,4,Zinedine Zidane,Athletes
2006,5,Ronaldinho,Athletes
2006,6,LeBron James,Athletes
2006,7,Allen Iverson,Athletes
2006,8,Lance Armstrong,Athletes
2006,9,Reggie Bush,Athletes
2006,10,Maria Sharapova,Athletes
2006,1,Britney Spears,People
2006,2,Paris Hilton,People
2006,3,George W. Bush,People
2006,4,Walt Disney,People
2006,5,Oprah Winfrey,People
2006,6,Jessica Simpson,People
2006,7,Michael Jordan,People
2006,8,Steven Irwin,People
2006,9,Beyonce,People
2006,10,Angelina Jolie,People
2006,1,George W. Bush,Politicians
2006,2,Saddam Hussein,Politicians
2006,3,Adolf Hitler,Politicians
2006,4,John F. Kennedy,Politicians
2006,5,Abraham Lincoln,Politicians
2006,6,George Washington,Politicians
2006,7,Bill Clinton,Politicians
2006,8,Benjamin Franklin,Politicians
2006,9,Ronald Reagan,Politicians
2006,10,Napoleon,Politicians
2005,1,Lindsay Lohan,Actors
2005,2,Katrina Kaif,Actors
2005,3,Pamela Anderson,Actors
2005,4,Angelina Jolie,Actors
2005,5,Hilary Duff,Actors
2005,6,Jennifer Aniston,Actors
2005,7,Brad Pitt,Actors
2005,8,Ashlee Simpson,Actors
2005,9,Jennifer Lopez,Actors
2005,10,Tom Cruise,Actors
2005,1,Michael Jordan,Athletes
2005,2,Lance Armstrong,Athletes
2005,3,Tiger Woods,Athletes
2005,4,Danica Patrick,Athletes
2005,5,Maria Sharapova,Athletes
2005,6,Terrell Owens,Athletes
2005,7,Kobe Bryant,Athletes
2005,8,Allen Iverson,Athletes
2005,9,LeBron James,Athletes
2005,10,Babe Ruth,Athletes
2005,1,Paris Hilton,People
2005,2,Britney Spears,People
2005,3,George W. Bush,People
2005,4,Jessica Simpson,People
2005,5,50 Cent,People
2005,6,Oprah Winfrey,People
2005,7,Walt Disney,People
2005,8,Michael Jordan,People
2005,9,Lindsay Lohan,People
2005,10,Katrina Kaif,People
2005,1,Britney Spears,Music Artists
2005,2,Jessica Simpson,Music Artists
2005,3,50 Cent,Music Artists
2005,4,Green Day,Music Artists
2005,5,Lindsay Lohan,Music Artists
2005,6,Eminem,Music Artists
2005,7,Mariah Carey,Music Artists
2005,8,The Beatles,Music Artists
2005,9,Hilary Duff,Music Artists
2005,10,Kanye West,Music Artists
2005,1,George W. Bush,Politicians
2005,2,Adolf Hitler,Politicians
2005,3,John F. Kennedy,Politicians
2005,4,Abraham Lincoln,Politicians
2005,5,Napoleon,Politicians
2005,6,George Washington ,Politicians
2005,7,Bill Clinton,Politicians
2005,8,Benjamin Franklin,Politicians
2005,9,Ronald Reagan,Politicians
2005,10,Franklin D. Roosevelt,Politicians
2005,1,Britney Spears,Teen Pop Artists
2005,2,Lindsay Lohan,Teen Pop Artists
2005,3,Hilary Duff,Teen Pop Artists
2005,4,Beyonce,Teen Pop Artists
2005,5,Jesse McCartney,Teen Pop Artists
2005,6,Christina Aguilera,Teen Pop Artists
2005,7,Backstreet Boys,Teen Pop Artists
2005,8,Avril Lavigne,Teen Pop Artists
2005,9,JoJo,Teen Pop Artists
2005,10,Mandy Moore,Teen Pop Artists
2004,1,Lindsay Lohan,Actors
2004,2,Ashlee Simpson,Actors
2004,3,Hilary Duff,Actors
2004,4,Jennifer Lopez,Actors
2004,5,Pamela Anderson,Actors
2004,6,Orlando Bloom,Actors
2004,7,Johnny Depp,Actors
2004,8,Tara Reid,Actors
2004,9,Carmen Electra,Actors
2004,10,Angelina Jolie,Actors
2004,1,Michael Jordan,Athletes
2004,2,Lance Armstrong,Athletes
2004,3,Kobe Bryant,Athletes
2004,4,Tiger Woods,Athletes
2004,5,Maria Sharapova,Athletes
2004,6,Michael Phelps,Athletes
2004,7,David Beckham,Athletes
2004,8,Anna Kournikova,Athletes
2004,9,Babe Ruth,Athletes
2004,10,Allen Iverson,Athletes
2004,1,Britney Spears,Music Artists
2004,2,Janet Jackson,Music Artists
