Year,Rank,Name
2008,45,Donald Trump
2008,46,George Lucas
2008,47,Keira Knightley
2008,48,Jerry Bruckheimer
2008,49,Nicolas Cage
2008,50,Spice Girls
2008,51,Matt Damon
2008,52,Dale Earnhardt Jr.
2008,53,Bon Jovi
2008,54,Jennifer Lopez
2008,55,Ben Stiller
2008,56,Kevin Garnett
2008,57,Nicole Kidman
2008,58,James Patterson
2008,59,Rush Limbaugh
2008,60,Reese Witherspoon
2008,61,Maria Sharapova
2008,62,Ryan Seacrest
2008,63,Gwen Stefani
2008,64,Daniel Radcliffe
2008,65,Alicia Keys
2008,66,Gisele Bundchen
2008,67,Gwyneth Paltrow
2008,68,Tyra Banks
2008,69,Serena Williams
2008,70,Eva Longoria Parker
2008,71,Ellen DeGeneres
2008,72,Sarah Jessica Parker
2008,73,Katherine Heigl
2008,74,Regis Philbin
2008,75,Tom Clancy
2008,76,Rachael Ray
2008,77,Cate Blanchett
2008,78,Heidi Klum
2008,79,Carrie Underwood
2008,80,Jon Stewart
2008,81,Justine Henin
2008,82,Judd Apatow
2008,83,Kate Moss
2008,84,Patrick Dempsey
2008,85,Charlie Sheen
2008,86,Drew Carey
2008,87,Steve Carell
2008,88,Lorena Ochoa
2008,89,Jonas Brothers
2008,90,Howie Mandel
2008,91,Wolfgang Puck
2008,92,Zac Efron
2008,93,Annika Sorenstam
2008,94,Ashley Tisdale
2008,95,Gordon Ramsay
2008,96,Jennifer Love Hewitt
2008,97,Lauren Conrad
2008,98,Vanessa Williams
2008,99,Tina Fey
2008,100,Paula Deen
2009,1,Angelina Jolie
2009,2,Oprah Winfrey
2009,3,Madonna
2009,4,Beyonce Knowles
2009,5,Tiger Woods
2009,6,Bruce Springsteen
2009,7,Steven Spielberg
2009,8,Jennifer Aniston
2009,9,Brad Pitt
2009,10,Kobe Bryant
2009,11,Will Smith
2009,12,Dr. Phil McGraw
2009,13,Britney Spears
2009,14,David Letterman
2009,15,Coldplay
2009,16,Adam Sandler
2009,17,Harrison Ford
2009,18,Michael Jordan
2009,19,LeBron James
2009,20,Tom Cruise
2009,21,Bon Jovi
2009,22,Donald Trump
2009,23,Rush Limbaugh
2009,24,George Lucas
2009,25,Simon Cowell
2009,26,Stephenie Meyer
2009,27,Roger Federer
2009,28,David Beckham
